rank,stadium,capacity,region,country,city,images,home_team
183,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/150px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC
184,RAMS Park,52652,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/150px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
185,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/150px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
186,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/150px-StJamesParkPanorama.jpg,Newcastle United
187,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/150px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks"
188,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/150px-Proudly_South_African.jpg,
189,Hampden Park,51866,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/150px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park"
190,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/150px-Monumental_de_maturin_3.jpg,Monagas Sport Club
191,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/150px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls
192,Aviva Stadium,51700,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/150px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
193,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/150px-Guiyang_Olympic_Sports_Center.jpg,
194,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/150px-Hohhot_City_Stadium.jpg,
195,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/150px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team
196,Donbass Arena,51504,Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/150px-Donbass_Arena.jpg,
197,Estadio Presidente Juan Domingo Perón,51389,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/150px-Panoramica_Cilindro.jpg,Racing Club de Avellaneda
